# https://chainz.cryptoid.info/ and whois results
# Litecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.236.136.96|/Node:0.8.7.2/|70002|14061|104.236.128.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.236.57.24|/Node:0.8.7.2/|70002|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.248.14.198|/LitecoinCore:0.18.1/|70015|14061|104.248.0.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
104.56.26.150|/BitcoinKit:0.1.0/|70015|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
107.191.119.170|/DefcoinCore:1.0.0/|70015|3842|107.191.116.0/22|US|arin|2014-05-08|RAMNODE, US
108.64.185.55|/loaf-android:175/|70015|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.106.141.231|/LitecoinCore:0.18.1/|70015|44604|109.106.141.0/24|RU|ripencc|2009-09-30|SVYAZ-TELECOM-AS, RU
109.252.184.17|/LitecoinCore:0.18.1/|70015|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
109.63.143.124|/WalletKit:0.1.0/|70015|12714|109.63.128.0/17|RU|ripencc|2010-07-08|TI-AS Moscow, Russia, RU
109.65.151.220|/NBitcoin:5.0.49/|70012|8551|109.65.151.0/24|IL|ripencc|2009-08-10|BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
109.78.213.82|/LitecoinCore:0.18.1/|70015|15502|109.78.212.0/22|IE|ripencc|2009-08-27|VODAFONE-IRELAND-ASN, IE
111.239.173.206|/LitecoinCore:0.18.1/|70015|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
112.104.143.133|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|4780|112.104.128.0/19|TW|apnic|2009-01-13|SEEDNET Digital United Inc., TW
112.200.168.46|/NBitcoin:5.0.49/|70012|9299|112.200.160.0/19|PH|apnic|2009-02-16|IPG-AS-AP Philippine Long Distance Telephone Company, PH
112.74.86.230|/LitecoinCore:0.16.3/|70015|37963|112.74.0.0/17|CN|apnic|2008-12-24|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
116.202.84.176|/MindexcoinCore:0.16.3/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.246.31.164|/LitecoinCore:0.17.1/|70015|4812|116.246.0.0/19|CN|apnic|2007-04-04|CHINANET-SH-AP China Telecom Group, CN
118.163.120.175|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|3462|118.163.0.0/16|TW|apnic|2007-10-04|HINET Data Communication Business Group, TW
118.163.120.179|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|3462|118.163.0.0/16|TW|apnic|2007-10-04|HINET Data Communication Business Group, TW
120.77.249.96|/LitecoinCore:0.17.1/|70015|37963|120.77.128.0/17|CN|apnic|2008-03-27|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
121.40.220.204|/LitecoinCore:0.18.1/|70015|37963|121.40.0.0/15|CN|apnic|2006-05-24|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
122.173.31.45|/loaf-android:175/|70015|24560|122.173.28.0/22|IN|apnic|2006-12-19|AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services, IN
128.199.120.176|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.91.96|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
134.122.118.135|/litecoinj:0.15.2-SNAPSHOT/|70002|14061|134.122.112.0/20|US|arin|2019-09-06|DIGITALOCEAN-ASN, US
134.209.192.211|/CounosXCore:0.17.2/|70015|14061|134.209.192.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
136.158.30.253|/NBitcoin:5.0.49/|70012|17639|136.158.28.0/22|PH|apnic|2004-04-14|CONVERGE-AS Converge ICT Solutions Inc., PH
139.5.218.218|/LitecoinCore:0.18.1/|70015|17882|139.5.218.0/24|MN|apnic|2016-03-30|ASN-MCS-AP # AS-MCS-AP CONVERTED TO ASN-MCS-AP FOR RPSL COMPLIANCE The first E-commerce and TriplePlay Service ISP in Mongolia., MN
139.59.111.217|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|139.59.96.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.111.218|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|139.59.96.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.7.181|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|139.59.0.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
142.122.57.16|/BitcoinKit:0.1.0/|70015|577|142.122.0.0/16|CA|arin|1993-04-05|BACOM, CA
142.93.229.149|/litetroll.net:1.0/|70015|14061|142.93.224.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
144.76.222.140|/Node:0.8.7.2/|70002|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
