# https://chainz.cryptoid.info/ and whois results
# Blocknet
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.243.173.214|/Blocknet:4.3.1/|70713|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
104.167.2.136|/Blocknet:4.2.0/|70713|13886|104.167.2.0/24|US|arin|2014-08-20|CLOUD-SOUTH, US
104.200.132.217|/Blocknet:4.3.3/|70713|46562|104.200.132.0/24|US|arin|2014-09-16|PERFORMIVE, US
108.214.8.13|/Blocknet:4.3.2/|70713|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.34.128.165|/Blocknet:4.2.0/|70713|701|108.34.128.0/17|US|arin|2009-06-05|UUNET, US
109.248.148.248|/Blocknet:4.3.3/|70713|52048|109.248.148.0/24|CZ|ripencc|2009-11-27|DATACLUB, BZ
109.252.87.70|/Blocknet:4.3.2/|70713|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
109.78.244.98|/Blocknet:4.2.0/|70713|15502|109.78.240.0/21|IE|ripencc|2009-08-27|VODAFONE-IRELAND-ASN, IE
114.198.44.162|/Blocknet:4.3.3/|70713|7545|114.198.40.0/21|AU|apnic|2008-06-25|TPG-INTERNET-AP TPG Telecom Limited, AU
121.99.129.139|/Blocknet:4.3.3/|70713|9790|121.98.0.0/15|NZ|apnic|2010-08-26|VOCUSGROUPNZ VocusGroup, NZ
130.105.156.128|/Blocknet:4.3.2/|70713|23944|130.105.156.0/22|PH|apnic|1998-07-20|SKYBB-AS-AP SKYBroadband SKYCable Corporation, PH
136.32.221.31|/Blocknet:4.3.3/|70713|16591|136.32.208.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.50.2.12|/Blocknet:4.3.3/|70713|16591|136.50.0.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.55.81.17|/Blocknet:4.3.2/|70713|16591|136.55.80.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
139.47.33.76|/Blocknet:4.3.3/|70713|15704|139.47.32.0/21|ES|ripencc|1990-06-19|AS15704, ES
143.244.52.5|/Blocknet:4.3.3/|70713|60068|143.244.52.0/22|GB|ripencc|1990-10-26|CDN77 ^_^, GB
143.244.54.128|/Blocknet:4.3.3/|70713|60068|143.244.52.0/22|GB|ripencc|1990-10-26|CDN77 ^_^, GB
144.91.87.251|/Blocknet:4.3.1/|70713|51167|144.91.86.0/23|DE|ripencc|1990-11-20|CONTABO, DE
146.199.153.222|/Blocknet:4.3.3/|70713|6871|146.199.0.0/16|US|arin|1991-02-28|PLUSNET UK Internet Service Provider, GB
149.202.77.77|/Blocknet:4.3.1/|70713|16276|149.202.0.0/16|FR|ripencc|1999-04-26|OVH, FR
161.97.165.23|/Blocknet:4.3.3/|70713|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
161.97.175.210|/Blocknet:4.3.3/|70713|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
164.68.114.200|/Blocknet:4.3.1/|70713|51167|164.68.114.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.84.123|/Blocknet:4.3.0/|70713|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
172.107.203.230|/Blocknet:4.3.3/|70713|40676|172.107.203.0/24|US|arin|2015-06-22|AS40676, US
173.249.11.130|/Blocknet:4.3.3/|70713|51167|173.249.10.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.39.140|/Blocknet:4.3.1/|70713|51167|173.249.38.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.38.220.38|/Blocknet:4.3.1/|70713|109|173.38.128.0/17|US|arin|2008-08-15|CISCOSYSTEMS, US
173.52.156.6|/Blocknet:4.3.2/|70713|701|173.52.0.0/16|US|arin|2008-10-09|UUNET, US
174.95.58.44|/Blocknet:4.3.3/|70713|577|174.95.0.0/16|CA|arin|2009-02-27|BACOM, CA
178.191.84.231|/Blocknet:4.3.2/|70713|8447|178.188.0.0/14|AT|ripencc|2010-02-08|A1TELEKOM-AT A1 Telekom Austria AG, AT
178.198.44.144|/Blocknet:4.3.3/|70713|3303|178.198.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
178.21.55.42|/Blocknet:4.3.3/|70713|44651|178.21.48.0/21|HU|ripencc|2010-03-10|COMUNIQUE, HU
178.3.64.153|/Blocknet:4.3.1/|70713|3209|178.0.0.0/12|DE|ripencc|2010-01-12|VODANET International IP-Backbone of Vodafone, DE
178.84.82.216|/Blocknet:4.3.2/|70713|33915|178.84.0.0/16|NL|ripencc|2009-12-19|TNF-AS, NL
181.203.49.232|/Blocknet:4.3.3/|70713|7418|181.203.0.0/16|CL|lacnic|2012-08-27|TELEFONICA CHILE S.A., CL
181.215.0.48|/Blocknet:4.3.3/|70713|61317|181.215.0.0/19|CL|lacnic|2014-05-29|ASDETUK www.heficed.com, GB
182.253.75.139|/Blocknet:4.3.1/|70713|17451|182.253.75.0/24|ID|apnic|2010-05-10|BIZNET-AS-AP BIZNET NETWORKS, ID
182.84.238.216|/Blocknet:4.3.1/|70713|4134|182.84.0.0/14|CN|apnic|2010-03-02|CHINANET-BACKBONE No.31,Jin-rong Street, CN
184.170.240.182|/Blocknet:4.3.3/|70713|46562|184.170.240.0/24|US|arin|2011-08-30|PERFORMIVE, US
184.68.105.218|/Blocknet:4.3.3/|70713|6327|184.68.96.0/19|CA|arin|2010-01-15|SHAW, CA
185.176.221.101|/Blocknet:4.3.1/|70713|39845|185.176.221.0/24|LV|ripencc|2016-11-08|LV-2CLOUD-ASN16, LV
185.206.225.51|/Blocknet:4.3.3/|70713|9009|185.206.225.0/24|RO|ripencc|2017-06-06|M247, GB
185.219.140.118|/Blocknet:4.3.3/|70713|136787|185.219.140.0/24|DE|ripencc|2017-09-04|TEFINCOMSA-AS-AP TEFINCOM S.A., PA
185.220.101.132|/Blocknet:4.3.3/|70713|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.146|/Blocknet:4.3.3/|70713|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.254.68.98|/Blocknet:4.3.3/|70713|46562|185.254.68.0/24|US|ripencc|2018-04-10|PERFORMIVE, US
185.65.135.252|/Blocknet:4.2.0/|70713|39351|185.65.135.0/24|SE|ripencc|2014-07-30|ESAB-AS, SE
186.136.250.91|/Blocknet:4.3.3/|70713|7303|186.136.0.0/15|AR|lacnic|2009-04-17|Telecom Argentina S.A., AR
188.116.92.184|/Blocknet:4.3.2/|70713|196822|188.116.64.0/18|CZ|ripencc|2009-06-04|SELECTSYSTEM-AS, CZ
188.169.22.31|/Blocknet:4.3.1/|70713|35805|188.169.0.0/16|GE|ripencc|2009-06-19|SILKNET-AS, GE
188.252.198.105|/Blocknet:4.3.3/|70713|15994|188.252.196.0/22|HR|ripencc|2011-02-09|A1HR A1 Hrvatska d.o.o. Zagreb, Croatia, HR
188.26.139.236|/Blocknet:4.3.1/|70713|8708|188.26.128.0/18|RO|ripencc|2009-02-11|RCS-RDS 73-75 Dr. Staicovici, RO
188.26.140.199|/Blocknet:4.3.3/|70713|8708|188.26.128.0/18|RO|ripencc|2009-02-11|RCS-RDS 73-75 Dr. Staicovici, RO
189.203.69.115|/Blocknet:4.3.1/|70713|17072|189.203.69.0/24|MX|lacnic|2009-09-14|TOTAL PLAY TELECOMUNICACIONES SA DE CV, MX
190.96.1.19|/Blocknet:4.3.1/|70713|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
192.121.175.201|/Blocknet:4.3.1/|70713|12782|192.121.175.0/24|SE|ripencc|2000-03-17|Uppsala Lans Landsting, SE
192.40.57.228|/Blocknet:4.3.1/|70713|46562|192.40.57.0/24|US|arin|2012-11-29|PERFORMIVE, US
192.99.14.158|/Blocknet:4.3.3/|70713|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
193.116.124.136|/Blocknet:4.3.3/|70713|7545|193.116.120.0/21|AU|apnic|1994-02-10|TPG-INTERNET-AP TPG Telecom Limited, AU
194.110.84.56|/Blocknet:4.3.3/|70713|141039|194.110.84.0/24|DE|ripencc|2018-09-25|TEFINCOMHOST-AS-AP Packethub s.a., PA
194.135.82.218|/Blocknet:4.3.1/|70713|62282|194.135.80.0/20|LT|ripencc|1995-02-06|RACKRAY UAB Rakrejus, LT
194.163.180.12|/Blocknet:4.3.1/|70713|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
194.195.210.153|/Blocknet:4.3.3/|70713|63949|194.195.208.0/21|US|ripencc|1995-09-14|LINODE-AP Linode, LLC, US
194.41.112.34|/Blocknet:4.3.3/|70713|209854|194.41.112.0/24|LT|ripencc|2018-09-21|SURFSHARK, VG
195.201.141.173|/Blocknet:4.3.2/|70713|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
197.245.103.110|/Blocknet:4.3.2/|70713|11845|197.245.0.0/16|ZA|afrinic|2011-08-17|Vox-Telecom, ZA
199.115.99.44|/Blocknet:4.3.3/|70713|46844|199.115.99.0/24|US|arin|2012-03-02|ST-BGP, US
